name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-14,39,31,34.5,46,34.2,39.1,22.1,49.6,0,0,0,,0,0,39.2,20.5,258.3,997.8,59.4,2.7,235.9,20.4,8,,2019-07-14T05:33:07,2019-07-14T19:21:36,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-15,36,23.1,28.7,42,23.1,31.7,23.2,73.7,26.066,100,4.17,rain,0,0,72.4,36.7,82.4,997.9,76.9,2.9,211.9,18.2,7,,2019-07-15T05:33:38,2019-07-15T19:21:18,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-16,36,25.7,28.5,41.8,25.7,32.2,23.8,76.5,0.652,100,8.33,rain,0,0,35.3,18.5,74.9,1000.9,76.7,3.5,119.7,10.6,5,,2019-07-16T05:34:08,2019-07-16T19:20:59,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-17,31.1,23.9,27.5,40.5,23.9,30.4,24.5,84.7,19.413,100,12.5,rain,0,0,34.2,14.8,341.3,1002.3,81.6,3.1,130.7,11.4,7,,2019-07-17T05:34:40,2019-07-17T19:20:38,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-18,30,23,26.6,35.2,23,28.8,24,85.9,75.57,100,16.67,rain,0,0,23.8,12.8,193,1002.3,74.7,2.9,180,15.5,7,,2019-07-18T05:35:11,2019-07-18T19:20:16,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-19,36,26.1,31.1,43.3,26.1,36.6,24.3,68.7,0,0,0,,0,0,18.7,11.1,89.8,1002,53.3,3.2,244.2,21.1,8,,2019-07-19T05:35:43,2019-07-19T19:19:53,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-20,34.3,26,29.9,45.3,26,36.4,25.7,78.9,13.89,100,4.17,rain,0,0,37.1,18.7,94.1,1002.9,70,3,233.8,20.1,8,,2019-07-20T05:36:15,2019-07-20T19:19:28,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-21,36.3,25.1,29.4,46,25.1,35.2,25.8,82.4,8.902,100,4.17,rain,0,0,40.7,21.8,124.8,1002.2,55.3,2.8,199.6,17.2,8,,2019-07-21T05:36:47,2019-07-21T19:19:02,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-22,36,27.2,31.2,47.6,31.5,39.6,26.4,77.1,0.088,100,4.17,rain,0,0,18.7,22.2,82.9,1001.1,53.4,2.4,225.6,19.5,7,,2019-07-22T05:37:20,2019-07-22T19:18:34,0.68,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-23,38,29.1,33.4,52.9,36.3,43.7,26.7,68.8,0,0,0,,0,0,16.2,14.5,64.5,999.8,54.2,2.9,208.5,18.1,8,,2019-07-23T05:37:52,2019-07-23T19:18:06,0.71,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-24,39,28,32.6,52.2,32.1,41.7,26.1,69.9,0.462,100,8.33,rain,0,0,29.5,24.1,216.3,998.3,66.8,2.9,218.6,18.9,8,,2019-07-24T05:38:25,2019-07-24T19:17:36,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-25,29.1,27,28,35.7,30.6,32.7,25.2,85.1,0.598,100,8.33,rain,0,0,25.2,13.4,204.3,1000.3,75.1,2.8,89.9,7.7,3,,2019-07-25T05:38:58,2019-07-25T19:17:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-26,30.1,26.1,27.7,37.6,26.1,32.3,25.8,89.9,10.978,100,12.5,rain,0,0,25.9,19.9,79.5,998.6,79.6,2.5,133,11.3,6,,2019-07-26T05:39:32,2019-07-26T19:16:31,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD,remote"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-27,31.1,26,27.9,40.7,26,32.8,26.1,90.3,8.846,100,12.5,rain,0,0,28.1,18.9,85.7,998.3,85.2,2.5,123.7,10.6,5,,2019-07-27T05:40:05,2019-07-27T19:15:57,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-28,32.5,26.1,28.8,41.9,26.1,35.2,26.2,86.3,2.088,100,4.17,rain,0,0,45.7,23.6,96.3,1000.2,69,3.4,173.4,14.8,7,,2019-07-28T05:40:38,2019-07-28T19:15:22,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2019-07-29,34.1,27.9,30.5,43.8,33.2,38.2,26,77.7,0,0,0,,0,0,42.1,21.8,91.9,1001.6,57.9,3.6,235.5,20.5,7,,2019-07-29T05:41:12,2019-07-29T19:14:45,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
