name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"INDIRA GANDHI INTERNATIONAL, IN",2016-09-04,34,26,29.9,40.7,26,34.6,24.2,72.6,0,0,0,,0,0,33.1,22.3,267,1004,38.2,4.1,255.6,22,9,,2016-09-04T06:01:14,2016-09-04T18:39:31,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-09-05,33.5,25,29.4,39.5,25,32.9,23.2,70.2,0,0,0,,0,0,33.5,20.6,265.5,1004.5,25.6,4.4,242.1,20.9,8,,2016-09-05T06:01:44,2016-09-05T18:38:22,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-09-06,33.1,24.8,29.2,39.3,24.8,32.6,23.1,70.7,0,0,0,,0,0,35.3,18.3,275.1,1005,34.4,4.2,242.5,20.9,8,,2016-09-06T06:02:13,2016-09-06T18:37:12,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-09-07,35,25,29.7,42,25,33.4,22.9,67.7,0,0,0,,0,0,33.5,14.8,275.1,1004.6,34,4.3,242.9,20.9,8,,2016-09-07T06:02:42,2016-09-07T18:36:02,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-09-08,35,25,30.2,40.4,25,33.7,22.5,64.4,0,0,0,,0,0,31.3,18.4,280.1,1005.8,36.5,4.9,228.5,19.9,8,,2016-09-08T06:03:11,2016-09-08T18:34:51,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-09-09,34.9,26,30.5,40.6,26,34.2,22.7,64,0,0,0,,0,0,33.5,15,281.3,1006.6,19.5,4.7,254.1,21.8,9,,2016-09-09T06:03:41,2016-09-09T18:33:41,0.25,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-09-10,35,25,30,40.7,25,33.1,22.5,65.5,0,0,0,,0,0,29.9,22.2,271.9,1005.8,23.1,5.7,258.6,22.2,9,,2016-09-10T06:04:10,2016-09-10T18:32:30,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-09-11,36,25,30.5,40.8,25,33.9,22.3,62.9,0,0,0,,0,0,29.5,18.4,271,1005.1,18.9,5,249.7,21.7,9,,2016-09-11T06:04:39,2016-09-11T18:31:19,0.32,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-09-12,34.5,25.2,30.3,38.6,25.2,33.2,21.8,61.9,0,0,0,,0,0,32.8,15,285.2,1005.5,25.5,4.9,228.9,19.7,8,,2016-09-12T06:05:08,2016-09-12T18:30:07,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
"INDIRA GANDHI INTERNATIONAL, IN",2016-09-13,35,26,30.6,39.5,26,34.5,23,65.5,0,0,0,,0,0,28.1,12.9,332.7,1007.4,28.9,4.5,228.6,19.8,8,,2016-09-13T06:05:37,2016-09-13T18:28:56,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
